pair_swaps_datetime,mev_vol,non_mev_vol
2022-03-03,-2240826.102923632,420513.1866299282
2022-03-04,-1742376.3626305747,477155.3101898555
2022-03-05,-1660058.6747740512,430844.59124651446
2022-03-06,-1814282.582472845,660405.5994015144
2022-03-07,-923554.8565082581,147036.8551139385
2022-03-08,186868.29118195616,-100273.98845180542
2022-03-09,637671.362812327,75125.9206250834
2022-03-10,-1342367.023161408,270297.5213085996
2022-03-11,-130706.19092700064,-116158.82902494787
2022-03-12,-389374.6247547743,22073.939663377616
2022-03-13,-937039.2123175646,137831.63776382423
2022-03-14,-111723.24753324805,-1893.0015544535547
2022-03-15,-779900.4326074409,183084.8314729444
2022-03-16,-1394180.998080466,263576.1674649232
2022-03-17,128793.50937627777,-1573.4664371123097
2022-03-18,306450.7968501168,140970.56782135685
2022-03-19,1238354.4582542947,-169508.82985561708
2022-03-20,-290991.44074345997,8474.717682066523
2022-03-21,818172.1518681711,-56557.45772435675
2022-03-22,269011.30385829514,-82689.03085836975
2022-03-23,2184225.396016604,-85526.2699031297
2022-03-24,6266052.613840539,-434810.83993424964
2022-03-25,88401.12375900405,-112126.89948531591
2022-03-26,1141370.1823402971,108857.08340360422
2022-03-27,-1983492.3149028362,332216.690798705
2022-03-28,-1837004.4286930512,399615.6153963643
2022-03-29,-1052219.3497294458,175390.87417738728
2022-03-30,-2621004.323580984,-62564.803077969715
2022-03-31,624875.9557866324,-323661.5408108298
2022-04-01,1341565.594409613,-311092.66598001827
2022-04-02,49263.63209273349,204811.3552480826
2022-04-03,-394213.62611892004,-139269.2129446532
2022-04-04,-2989247.9655013606,515788.7298808803
2022-04-05,-184585.0691967965,38697.02754824661
2022-04-06,-1645312.8343215887,300807.5813432464
2022-04-07,-438599.10776922054,-57415.78613165108
2022-04-08,-1161717.0811452495,35047.85521763458
2022-04-09,6700935.694011965,-406910.35285934934
2022-04-10,-3295534.045719099,291109.4359264096
2022-04-11,-1749313.2528879875,-169690.55595487513
2022-04-12,-545960.3743889772,362187.2450010078
2022-04-13,-1451448.432653336,405680.6290807725
2022-04-14,-1398081.7071696736,-207837.95494950606
2022-04-15,-660010.0145921159,98231.11324093645
2022-04-16,-481713.1479859024,46809.07456421218
2022-04-17,-1612816.961793333,89248.2410718473
2022-04-18,-1118435.1726005606,21060.84322104055
2022-04-19,159153.30355392958,-122328.64704878612
2022-04-20,7121004.055828009,-1110035.2490368828
2022-04-21,-1061692.39753249,195333.36328670115
2022-04-22,-762697.1704634539,178904.44424222346
2022-04-23,-1160661.36627622,111833.2329375834
2022-04-24,-1720558.6175332193,585309.9510026994
2022-04-25,2334136.7332450794,-45797.69268505993
2022-04-26,-1174657.7302271547,-73520.71980571416
2022-04-27,229194.391863141,-88119.0330406101
2022-04-28,-1226932.774747254,324839.35516428575
2022-04-29,-1534688.1992373767,79029.55074884847
2022-04-30,-1875845.1813491113,323820.7790254905
2022-05-01,147370.24498115043,50706.20992944173
2022-05-02,-605614.7554532539,146387.08697445464
2022-05-03,-234729.57294651022,128844.3280259164
2022-05-04,-200320.80960429145,-48503.57404260003
2022-05-05,-1709162.6870775358,208205.48509558348
2022-05-06,-152596.3749032324,28082.238615270966
2022-05-07,-573474.5280914566,64189.48422217639
2022-05-08,189750.28219752188,-182781.22728041853
2022-05-09,440058.85949215776,-458142.9321124828
2022-05-10,-47084.227484472416,8876.006307780879
2022-05-11,-1171029.2155566087,340791.6076615848
2022-05-12,1072797.4846632667,-98492.68992029641
2022-05-13,-52691.11098860259,107049.14990492562
2022-05-14,670562.2146031007,-123933.29080037141
2022-05-15,747729.9752636544,-43331.34852428487
2022-05-16,103861.23012470982,-68681.08399681275
2022-05-17,472387.0442456487,-15371.000565173192
2022-05-18,444850.5280100077,-204888.2336766402
2022-05-19,-205444.59872712856,66390.86219537896
2022-05-20,14288.204394921362,-76142.03616724451
2022-05-21,568305.9189785188,-90955.20743966204
2022-05-22,895288.5931846986,-59082.26080494845
2022-05-23,172318.98138358595,-90182.8728005955
2022-05-24,1456014.0445097322,-75211.90214742548
2022-05-25,723693.6531025482,-153519.78651298466
2022-05-26,-1414812.369062073,-153382.61247247865
2022-05-27,-931622.4588197818,152754.41149409252
2022-05-28,264636.4294704098,-30187.84156672494
2022-05-29,1003993.3063732936,-83148.82686768324
2022-05-30,128604.99079606173,159165.20674887652
2022-05-31,-238860.0576204187,3140.663919150028
2022-06-01,-221467.51830244207,-139344.93008201552
2022-06-02,493483.32090313674,52543.30991559477
2022-06-03,-581261.897203271,-26109.632377159127
2022-06-04,128215.65588534783,7693.117369082795
2022-06-05,-213726.56026067978,45736.85063925142
2022-06-06,-856932.300872786,51.690316132592216
2022-06-07,13757.73397484614,72321.63599872298
2022-06-08,-210924.3403189068,87445.85805433855
2022-06-09,8538.627388516237,-15879.899374235825
2022-06-10,-380673.65752916475,-127529.54426480818
2022-06-11,-832380.5519135562,-212396.50254474187
2022-06-12,-1114820.8151292396,-115778.01059587611
2022-06-13,638639.7277552901,-296888.63658076146
2022-06-14,560191.467642994,66854.28643809409
2022-06-15,-357298.4030400971,155823.99071861393
2022-06-16,245804.9822451553,-245977.89231403777
2022-06-17,351426.78823567426,-129051.11561520663
2022-06-18,93887.33973966715,-135426.77329140948
2022-06-19,18200.729442908032,-53565.036046480534
2022-06-20,387819.6596420443,-115840.43386875247
2022-06-21,-28305.94852522803,40216.274790771495
2022-06-22,25303.092107175406,-111207.62679031576
2022-06-23,117160.38368304257,-75904.78202789034
2022-06-24,192171.46568356358,-63183.0160202918
2022-06-25,263021.1007535216,-23088.46616098362
2022-06-26,259158.3087080488,-119376.5853768932
2022-06-27,-220448.1506638686,-146945.07360010527
2022-06-28,354451.6680066726,-396498.4815411503
2022-06-29,-41291.57452387287,-200835.7131320462
2022-06-30,250894.60100409164,-320454.53731403284
2022-07-01,228363.98215125568,-134232.00443483028
2022-07-02,268539.4944118009,-110632.78123346022
2022-07-03,241202.37771406522,-110901.26092450436
2022-07-04,102464.18434072456,-6448.187959198955
2022-07-05,143715.6109100392,-179121.23631494842
2022-07-06,373791.4310767744,-97128.51956809142
2022-07-07,-409850.3670454858,106581.10655245555
2022-07-08,71788.96104783053,-66313.011227059
2022-07-09,272841.9218203349,-103887.21082281157
2022-07-10,26509.87351466309,-49176.48817581698
2022-07-11,473577.5396966729,-362119.40598710807
2022-07-12,456226.349892343,-219138.927765494
2022-07-13,362361.88358155946,-96940.93614527328
2022-07-14,177503.0801622459,-85853.90274106426
2022-07-15,180906.33374898447,-22663.44574168815
2022-07-16,111588.0413087289,282413.68485755543
2022-07-17,-159247.59351777722,-14429.749156395483
2022-07-18,-212365.52476709685,161695.25510751104
2022-07-19,-76166.72282747616,-56190.509438572924
2022-07-20,-203635.70118550883,-123040.02978509873
